txn_id,amount,status,classification
TXNMAY00315,31504.74,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00298,8352.67,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00303,37052.7,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00294,4934.97,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00194,35498.27,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00190,28261.89,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00183,69696.16,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00326,49935.52,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00184,77329.97,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00311,48839.37,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00179,11795.13,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00195,23900.7,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00310,36317.7,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00316,52423.38,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00304,87630.92,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00308,89045.89,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00282,81212.55,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00186,37981.73,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00301,23081.74,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00314,52676.27,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00322,60674.78,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00305,5133.1,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00178,24498.79,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00287,12850.78,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00284,68780.79,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00283,76873.57,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00176,35772.98,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00289,-30491.0,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00286,17303.23,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00306,83025.54,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00321,20973.69,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00312,72414.34,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00325,66372.15,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00193,74014.33,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00188,92510.31,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00189,41050.03,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00181,54320.39,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
