id,type,exception_category,amount,variance,ageing_days,recommended_action,month,status
BLMAY00244,bank,DUPLICATE_BANK_CREDIT,12850.78,0,0,Investigate.,May,EXCEPTION
BLMAY00238,bank,DUPLICATE_BANK_CREDIT,68780.79,0,0,Investigate.,May,EXCEPTION
BLMAY00239,bank,DUPLICATE_BANK_CREDIT,4541.21,0,0,Investigate.,May,EXCEPTION
BLMAY00235,bank,DUPLICATE_BANK_CREDIT,76873.57,0,0,Investigate.,May,EXCEPTION
BLMAY00240,bank,DUPLICATE_BANK_CREDIT,4541.21,0,0,Investigate.,May,EXCEPTION
BLMAY00243,bank,DUPLICATE_BANK_CREDIT,12850.78,0,0,Investigate.,May,EXCEPTION
BLMAY00233,bank,DUPLICATE_BANK_CREDIT,81212.55,0,0,Investigate.,May,EXCEPTION
BLMAY00236,bank,DUPLICATE_BANK_CREDIT,76873.57,0,0,Investigate.,May,EXCEPTION
BLMAY00241,bank,DUPLICATE_BANK_CREDIT,17303.23,0,0,Investigate.,May,EXCEPTION
BLMAY00242,bank,DUPLICATE_BANK_CREDIT,17303.23,0,0,Investigate.,May,EXCEPTION
BLMAY00234,bank,DUPLICATE_BANK_CREDIT,81212.55,0,0,Investigate.,May,EXCEPTION
BLMAY00237,bank,DUPLICATE_BANK_CREDIT,68780.79,0,0,Investigate.,May,EXCEPTION
BLMAY00200,bank,ORPHAN_BANK_CREDIT,54473.28,0,0,Check ledger.,May,EXCEPTION
BLMAY00251,bank,ORPHAN_BANK_CREDIT,92851.94,0,0,Check ledger.,May,EXCEPTION
BLMAY00193,bank,ORPHAN_BANK_CREDIT,74014.33,0,0,Check ledger.,May,EXCEPTION
BLMAY00184,bank,ORPHAN_BANK_CREDIT,77329.97,0,0,Check ledger.,May,EXCEPTION
BLMAY00248,bank,ORPHAN_BANK_CREDIT,23293.95,0,0,Check ledger.,May,EXCEPTION
BLMAY00250,bank,ORPHAN_BANK_CREDIT,66844.58,0,0,Check ledger.,May,EXCEPTION
BLMAY00252,bank,ORPHAN_BANK_CREDIT,20281.77,0,0,Check ledger.,May,EXCEPTION
BLMAY00196,bank,ORPHAN_BANK_CREDIT,25053.34,0,0,Check ledger.,May,EXCEPTION
BLMAY00192,bank,ORPHAN_BANK_CREDIT,34673.73,0,0,Check ledger.,May,EXCEPTION
BLMAY00183,bank,ORPHAN_BANK_CREDIT,69696.16,0,0,Check ledger.,May,EXCEPTION
BLMAY00199,bank,ORPHAN_BANK_CREDIT,75452.73,0,0,Check ledger.,May,EXCEPTION
BLMAY00189,bank,ORPHAN_BANK_CREDIT,41050.03,0,0,Check ledger.,May,EXCEPTION
BLMAY00246,bank,ORPHAN_BANK_CREDIT,36440.72,0,0,Check ledger.,May,EXCEPTION
BLMAY00187,bank,ORPHAN_BANK_CREDIT,31699.86,0,0,Check ledger.,May,EXCEPTION
BLMAY00245,bank,ORPHAN_BANK_CREDIT,28904.03,0,0,Check ledger.,May,EXCEPTION
BLMAY00191,bank,ORPHAN_BANK_CREDIT,4263.15,0,0,Check ledger.,May,EXCEPTION
BLMAY00247,bank,ORPHAN_BANK_CREDIT,7970.69,0,0,Check ledger.,May,EXCEPTION
BLMAY00190,bank,ORPHAN_BANK_CREDIT,28261.89,0,0,Check ledger.,May,EXCEPTION
BLMAY00249,bank,ORPHAN_BANK_CREDIT,9109.17,0,0,Check ledger.,May,EXCEPTION
BLMAY00178,bank,ORPHAN_BANK_CREDIT,24498.79,0,0,Check ledger.,May,EXCEPTION
BLMAY00185,bank,ORPHAN_BANK_CREDIT,73794.04,0,0,Check ledger.,May,EXCEPTION
BLMAY00182,bank,ORPHAN_BANK_CREDIT,60479.81,0,0,Check ledger.,May,EXCEPTION
BLMAY00179,bank,ORPHAN_BANK_CREDIT,11795.13,0,0,Check ledger.,May,EXCEPTION
BLMAY00197,bank,ORPHAN_BANK_CREDIT,13110.27,0,0,Check ledger.,May,EXCEPTION
BLMAY00181,bank,ORPHAN_BANK_CREDIT,54320.39,0,0,Check ledger.,May,EXCEPTION
BLMAY00186,bank,ORPHAN_BANK_CREDIT,37981.73,0,0,Check ledger.,May,EXCEPTION
BLMAY00188,bank,ORPHAN_BANK_CREDIT,92510.31,0,0,Check ledger.,May,EXCEPTION
BLMAY00194,bank,ORPHAN_BANK_CREDIT,35498.27,0,0,Check ledger.,May,EXCEPTION
BLMAY00180,bank,ORPHAN_BANK_CREDIT,1807.25,0,0,Check ledger.,May,EXCEPTION
BLMAY00195,bank,ORPHAN_BANK_CREDIT,23900.7,0,0,Check ledger.,May,EXCEPTION
BLMAY00176,bank,ORPHAN_BANK_CREDIT,35772.98,0,0,Check ledger.,May,EXCEPTION
BLMAY00198,bank,ORPHAN_BANK_CREDIT,33168.55,0,0,Check ledger.,May,EXCEPTION
BLMAY00177,bank,ORPHAN_BANK_CREDIT,27431.82,0,0,Check ledger.,May,EXCEPTION
TXNMAY00298,internal,GENUINE_EXCEPTION,8352.67,0,49,Escalate,May,EXCEPTION
TXNMAY00294,internal,GENUINE_EXCEPTION,4934.97,0,56,Escalate,May,EXCEPTION
TXNMAY00194,internal,GENUINE_EXCEPTION,35498.27,0,49,Escalate,May,EXCEPTION
TXNMAY00190,internal,SETTLEMENT_LAG,28261.89,0,39,Monitor,May,OPEN
TXNMAY00183,internal,GENUINE_EXCEPTION,69696.16,0,53,Escalate,May,EXCEPTION
TXNMAY00326,internal,GENUINE_EXCEPTION,49935.52,0,58,Escalate,May,EXCEPTION
TXNMAY00184,internal,GENUINE_EXCEPTION,77329.97,0,50,Escalate,May,EXCEPTION
TXNMAY00179,internal,GENUINE_EXCEPTION,11795.13,0,51,Escalate,May,EXCEPTION
