match_group_id,cardinality,match_method,status,variance_inr,internal_txn_id,internal_amount,bank_line_id,bank_amount
MG00001,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00138,57614.19,BLMAY00138,57614.19
MG00002,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00105,72532.19,BLMAY00105,72532.19
MG00003,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00115,93830.0,BLMAY00115,93830.0
MG00004,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00036,83560.86,BLMAY00036,83560.86
MG00005,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00165,31958.03,BLMAY00165,31958.03
MG00006,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00109,80954.76,BLMAY00109,80954.76
MG00007,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00047,89242.72,BLMAY00047,89242.72
MG00008,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00039,60348.45,BLMAY00039,60348.45
MG00009,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00110,60052.51,BLMAY00110,60052.51
MG00010,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00028,46264.5,BLMAY00028,46264.5
MG00011,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00160,33596.53,BLMAY00160,33596.53
MG00012,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00087,11473.29,BLMAY00087,11473.29
MG00013,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00130,23328.15,BLMAY00130,23328.15
MG00014,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00066,83595.89,BLMAY00066,83595.89
MG00015,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00171,68430.74,BLMAY00171,68430.74
MG00016,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00016,90624.06,BLMAY00016,90624.06
MG00017,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00062,89574.77,BLMAY00062,89574.77
MG00018,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00013,4714.28,BLMAY00013,4714.28
